COUNTY_NAME,2002,2007,2012,2017,2022
ADA,234.0,1624.0,143.0,44.0,118.0
BANNOCK,0.0,0.0,0.0,48.0,90.0
BEAR LAKE,45.0,67.0,0.0,65.0,8.0
BENEWAH,0.0,68.0,50.0,40.0,0.0
BINGHAM,999.0,319.0,287.0,227.0,384.0
BLAINE,0.0,11.0,0.0,0.0,0.0
BOISE,60.0,0.0,0.0,0.0,0.0
BONNER,181.0,0.0,139.0,0.0,344.0
BONNEVILLE,182.0,0.0,185.0,252.0,0.0
BOUNDARY,318.0,111.0,0.0,177.0,63.0
CAMAS,0.0,0.0,0.0,0.0,32.0
CANYON,910.0,525.0,500.0,0.0,1206.0
CARIBOU,0.0,43.0,42.0,29.0,0.0
CASSIA,1395.0,263.0,66.0,18.0,68.0
CLEARWATER,50.0,0.0,37.0,42.0,20.0
GEM,0.0,74.0,240.0,92.0,102.0
GOODING,220.0,0.0,0.0,75.0,24.0
IDAHO,0.0,81.0,1354.0,19.0,0.0
JEROME,326.0,0.0,0.0,49.0,115.0
KOOTENAI,440.0,138.0,0.0,0.0,268.0
LATAH,1658.0,14.0,73.0,90.0,96.0
LEMHI,0.0,41.0,0.0,21.0,12.0
LEWIS,0.0,0.0,0.0,0.0,33.0
MINIDOKA,19.0,0.0,0.0,58.0,83.0
NEZ PERCE,219.0,8.0,31.0,0.0,586.0
ONEIDA,0.0,89.0,229.0,46.0,34.0
OWYHEE,113.0,0.0,248.0,30.0,0.0
PAYETTE,158.0,79.0,92.0,0.0,13.0
POWER,0.0,32.0,0.0,0.0,0.0
SHOSHONE,0.0,0.0,0.0,38.0,14.0
TETON,49.0,40.0,60.0,57.0,0.0
TWIN FALLS,0.0,437.0,78.0,183.0,0.0
VALLEY,18.0,18.0,0.0,0.0,0.0
ALEXANDER,26.0,29.0,21.0,0.0,0.0
BOND,10674.0,176.0,408.0,858.0,2405.0
BROWN,18385.0,27395.0,36.0,29266.0,1819.0
BUREAU,73831.0,95145.0,58728.0,62526.0,69653.0
CASS,81766.0,0.0,120238.0,92247.0,70551.0
CHAMPAIGN,21158.0,18803.0,8706.0,9462.0,11512.0
CHRISTIAN,27608.0,32912.0,44847.0,57260.0,60868.0
CLINTON,177749.0,221374.0,80109.0,88497.0,53013.0
COLES,266.0,9750.0,139.0,8915.0,0.0
CUMBERLAND,49195.0,36003.0,23627.0,70880.0,88553.0
DE WITT,22029.0,12383.0,41216.0,87.0,0.0
DU PAGE,0.0,0.0,0.0,5.0,11.0
EDGAR,801.0,176.0,40.0,225.0,1040.0
EDWARDS,18708.0,11428.0,59.0,48100.0,0.0
FORD,29773.0,59594.0,126376.0,54035.0,50920.0
GRUNDY,6671.0,148.0,30.0,1200.0,1767.0
HENDERSON,23245.0,21835.0,19926.0,17694.0,26980.0
IROQUOIS,30866.0,61782.0,56594.0,52364.0,95514.0
JERSEY,2673.0,81.0,36.0,0.0,0.0
JO DAVIESS,18983.0,18632.0,13385.0,49.0,314.0
KANE,27465.0,34676.0,36650.0,50796.0,62.0
KANKAKEE,123.0,42569.0,277.0,130.0,216.0
KENDALL,28810.0,274.0,40.0,62.0,56.0
KNOX,109427.0,133650.0,132152.0,189660.0,102054.0
LA SALLE,16205.0,11392.0,477.0,610.0,220.0
LIVINGSTON,125031.0,170473.0,236087.0,132731.0,192040.0
MACOUPIN,68030.0,81193.0,33997.0,39600.0,91700.0
MASON,13236.0,12571.0,26.0,84.0,110.0
MASSAC,3919.0,0.0,0.0,56.0,34.0
MCDONOUGH,16916.0,3075.0,41048.0,93722.0,89037.0
MCHENRY,21634.0,24460.0,13620.0,12797.0,14216.0
MCLEAN,92321.0,58299.0,172379.0,195556.0,140094.0
MENARD,29833.0,14610.0,13.0,0.0,0.0
MERCER,63395.0,61004.0,98433.0,196202.0,323916.0
MOULTRIE,3386.0,3038.0,1521.0,1085.0,1800.0
OGLE,52162.0,69817.0,93641.0,94378.0,106426.0
PEORIA,20274.0,20800.0,67.0,345.0,11443.0
PIATT,58.0,22.0,0.0,0.0,30.0
RICHLAND,83492.0,53688.0,53459.0,66758.0,42301.0
ROCK ISLAND,30643.0,31996.0,10701.0,29083.0,35776.0
SANGAMON,50810.0,37233.0,37919.0,44619.0,32951.0
SCHUYLER,40433.0,45889.0,35.0,65434.0,52618.0
ST CLAIR,30188.0,28845.0,11219.0,47900.0,148.0
STARK,18035.0,318.0,15.0,47.0,16500.0
STEPHENSON,85769.0,58567.0,69446.0,53628.0,113974.0
TAZEWELL,74635.0,69579.0,47187.0,96264.0,50869.0
VERMILION,18835.0,13517.0,9714.0,75.0,9000.0
